2020最新CPU性能排行榜天梯图，时时更新，助您更快直观的了解CPU性能排行，如有疑问可**交流！
CTRL+F可查找您要的CPU，选中进行对比。
http://www.360doc.com/content/20/1026/12/39305448_942429466.shtml
   
排行	名称	主频	核心数量	插槽类型	测评得分	对比
240	Intel Xeon E5-1680 v4	3.4 GHz	8	LGA2011-3	14481	 
241	Intel Xeon Silver 4210	2.2 GHz	10	LGA3647	14459	 
242	Intel Xeon Silver 4215	2.5 GHz	8	LGA3647	14439	 
243	Intel Xeon E5-2676 v3	2.4 GHz	12	LGA2011-v3	14407	 
244	Intel Xeon Silver 4123	3.0 GHz	8	14405	 
245	AMD Ryzen 7 PRO 1700	3.0 GHz	8	AM4	14352	 
246	Intel Xeon E5-2660 v4	2.0 GHz	14	LGA2011-3	14342	 
247	AMD EPYC 3251	2.5 GHz	8	SP4r2	14335	 
248	Intel Xeon W-2135	3.7 GHz	6	LGA2066	14317	 
249	Intel Xeon Gold 6128	3.4 GHz	6	LGA3647	14273	 
250	Intel Xeon E5-2697 v2	2.7 GHz	12	LGA2011	14268	 
251	Intel Xeon E-2246G	3.6 GHz	6	LGA1151-2	14237	 
252	Intel Core i5-10600	3.3 GHz	6	LGA1200	14196	 
253	AMD Ryzen 5 4600HS	3.0 GHz	6	FP6	14171	 
254	Intel Xeon E5-2658 v4	2.3 GHz	14	LGA2011-3	14168	 
255	Intel Xeon E5-2683 v3	2.0 GHz	14	LGA2011-v3	14142	 
256	Intel Xeon E5-2667 v4	3.2 GHz	8	LGA2011-3	14101	 
257	Intel Core i9-9880H	2.3 GHz	8	BGA1440	14098	 
258	AMD Ryzen 5 2600X	3.6 GHz	6	AM4	14075	 
259	Intel Xeon E5-2696 v2	2.5 GHz	12	LGA2011	14068	 
260	Intel Core i9-10880H	2.3 GHz	8	BGA1440	13973	 
261	Intel Xeon W-10855M	2.8 GHz	6	BGA1440	13964	 
262	AMD Ryzen 7 4700U	2.0 GHz	8	FP6	13855	 
263	Intel Core i7-8700K	3.7 GHz	6	LGA1151-2	13848	 
264	Intel Core i7-9700F	3.0 GHz	8	LGA1151-2	13831	 
265	Intel Xeon E5-2670 v3	2.3 GHz	12	LGA2011-v3	13785	 
266	Intel Xeon E-2236	3.4 GHz	6	LGA1151-2	13777	 
267	Intel Core i9-9900T	2.1 GHz	8	LGA1151-2	13772	 
268	AMD Ryzen 5 PRO 4650U	2.1 GHz	6	FP6	13765	 
269	Intel Xeon E-2176G	3.7 GHz	6	LGA1151-2	13751	 
270	Intel Xeon E-2186G	3.8 GHz	6	LGA1151-2	13680	 
271	Intel Core i7-9700	3.0 GHz	8	LGA1151-2	13672	 
272	AMD Ryzen 5 PRO 2600	3.4 GHz	6	AM4	13662	 
273	Intel Xeon E-2136	3.3 GHz	6	LGA1151-2	13564	 
274	Intel Xeon E5-1660 v4	3.2 GHz	8	LGA2011-3	13554	 
275	Intel Xeon E5-2660 v3	2.6 GHz	10	LGA2011-v3	13535	 
276	Intel Xeon E5-2658 v3	2.2 GHz	12	LGA2011-v3	13487	 
277	Intel Xeon E5-2695 v2	2.4 GHz	12	LGA 2011	13427	 
278	Intel Core i7-6900K	3.2 GHz	8	LGA2011-3	13402	 
279	AMD Ryzen 5 3500X	3.6 GHz	6	AM4	13401	 
280	Intel Core i5-10500	3.1 GHz	6	LGA1200	13398	 
281	Intel Core i7-1165G7	2.8 GHz	4	BGA1526	13372	 
282	Intel Xeon W-2225	4.1 GHz	4	LGA2066	13364	 
