2020最新CPU性能排行榜天梯图，时时更新，助您更快直观的了解CPU性能排行，如有疑问可**交流！
CTRL+F可查找您要的CPU，选中进行对比。
http://www.360doc.com/content/20/1026/12/39305448_942429466.shtml
   
排行	名称	主频	核心数量	插槽类型	测评得分	对比
1502	Intel Pentium G3430	3.3 GHz	2	LGA1150	2129	 
1503	AMD Athlon II X4 645	3.1 GHz	4	AM3	2129	 
1504	Intel Atom E3950	1.6 GHz	4	BGA1296	2121	 
1505	Intel Pentium G3450	3.4 GHz	2	LGA1150	2119	 
1506	AMD Phenom II X4 925	2.8 GHz	4	AM3	2118	 
1507	Intel Celeron G4930T	3.0 GHz	2	LGA1151	2117	 
1508	Intel Pentium N4200	1.1 GHz	4	BGA1296	2116	 
1509	AMD Athlon X4 640	3.0 GHz	4	2115	 
1510	Intel Xeon X3363	2.8 GHz	4	LGA771	2112	 
1511	AMD Phenom II X4 B25	2.7 GHz	4	AM2+/AM3	2108	 
1512	AMD A6-3670 APU	2.7 GHz	4	FM1	2107	 
1513	Intel Pentium G3440T	2.8 GHz	2	LGA1150	2107	 
1514	Intel Core i7-3517U	1.9 GHz	2	BGA1023	2103	 
1515	Intel Core2 Quad Q9505	2.8 GHz	4	LGA775	2096	 
1516	Intel Core i5-2450M	2.5 GHz	2	BGA1023	2094	 
1517	AMD Phenom II X4 B93	2.8 GHz	4	AM3	2091	 
1518	Intel Core i5-4250U	1.3 GHz	2	BGA1168	2088	 
1519	AMD Athlon II X4 631 Quad-Core	2.6 GHz	4	FM1	2080	 
1520	AMD Opteron 1389	2.9 GHz	4	AM2	2079	 
1521	AMD Athlon II X4 655	3.3 GHz	4	AM2+ (940-pin)	2078	 
1522	Intel Core2 Quad Q9450	2.7 GHz	4	LGA775	2077	 
1523	Intel Pentium 4405U	2.1 GHz	2	BGA1356	2075	 
1524	AMD Opteron 2384	2.7 GHz	4	F (1207)	2074	 
1525	AMD Phenom II X4 B45	3.1 GHz	4	2065	 
1526	Intel Core i5-2415M	2.3 GHz	2	BGA1023	2063	 
1527	AMD Athlon II X4 630	2.8 GHz	4	AM3	2063	 
1528	AMD Opteron 3250 HE	2.5 GHz	4	AM3+	2061	 
1529	Intel Pentium G2140	3.3 GHz	2	LGA1155	2059	 
1530	AMD Opteron 4162 EE	1.7 GHz	6	F (1207)	2058	 
1531	Intel Atom C2758	2.4 GHz	8	BGA 1283	2056	 
1532	Intel Xeon X3230	2.7 GHz	4	LGA775	2056	 
1533	Intel Core2 Quad Q9400	2.7 GHz	4	LGA775	2054	 
1534	Intel Core i3-2130	3.4 GHz	2	LGA1155	2053	 
1535	Intel Xeon E3-1220L	2.2 GHz	2	LGA1155	2050	 
1536	Intel Pentium G3260	3.3 GHz	2	LGA1150	2048	 
1537	Intel Pentium G3258	3.2 GHz	2	LGA1150	2047	 
1538	Intel Pentium G3420T	2.7 GHz	2	LGA1150	2044	 
1539	Intel Core2 Quad Q6700	2.7 GHz	4	LGA775	2039	 
1540	Intel Core i3-5005U	2.0 GHz	2	BGA1168	2036	 
1541	AMD A6-3650 APU	2.6 GHz	4	FM1	2034	 
1542	Intel Celeron G3900E	2.4 GHz	2	BGA1440	2034	 
1543	AMD Phenom II X4 820	2.8 GHz	4	AM3	2034	 
1544	Intel Core i7-640M	3.5 GHz	2	BGA1288	2031	 
1545	Intel Core i3-2102	3.1 GHz	2	LGA1155	2029	 
1546	Intel Xeon E7- 2830	2.1 GHz	4	LGA1567	2027	 
1547	AMD Athlon II X4 638 Quad-Core	2.7 GHz	4	FM1	2026	 
1548	Intel Core m5-6Y54	1.1 GHz	2	BGA1515	2021	 
1549	Intel Core i5-655K	3.2 GHz	2	LGA1156	2017	 
1550	Intel Xeon L5420	2.5 GHz	4	LGA771	2017	 
1551	Intel Pentium G3450T	2.9 GHz	2	LGA1150	2016	 
1552	AMD A8-3820 APU	2.5 GHz	4	FM1	2015	 
1553	Intel Core2 Extreme Q9200	2.4 GHz	4	2011	 
1554	AMD A8-5550M APU	2.1 GHz	4	FS1r2	2008	 
1555	AMD Phenom II X4 910e	2.6 GHz	4	AM3	2006	 
1556	Intel Core2 Quad Q8400	2.7 GHz	4	LGA775	2003	 
1557	Intel Core i5-2430M	2.4 GHz	2	PGA988B	2003	 
1558	Intel Core i5-2435M	2.4 GHz	2	BGA1023	2002	 
1559	Intel Core i3-3220T	2.8 GHz	2	LGA1155	2001	 
1560	Intel Core i3-5015U	2.1 GHz	2	BGA1168	1997	 
1561	AMD Opteron 2427	2.2 GHz	6	F (1207)	1995	 
1562	Intel Pentium G3260T	2.9 GHz	2	LGA1150	1993	 
1563	Intel Core i3-3210	3.2 GHz	2	LGA1155	1990	 
1564	AMD Phenom II X4 920	2.8 GHz	4	AM2+	1989	 
1565	AMD Athlon X4 750 Quad Core	3.4 GHz	4	FM2	1986	 
1566	Intel Xeon X3320	2.5 GHz	4	LGA775	1986	 
1567	Intel Xeon X3330	2.7 GHz	4	LGA775	1985	 
1568	Intel Core2 Quad Q9300	2.5 GHz	4	LGA775	1984	 
1569	Intel Pentium G3420	3.2 GHz	2	LGA1150	1983	 
1570	AMD A6-7480	3.5 GHz	2	FM2+	1982	 
1571	Intel Core i3-3240T	2.9 GHz	2	LGA1155	1981	 
1572	Intel Core2 Extreme Q6850	3.0 GHz	4	LGA775	1980	 
1573	Intel Celeron G1850	2.9 GHz	2	LGA1150	1980	 
1574	AMD FX-7500 APU	2.1 GHz	4	FP3	1980	 
1575	AMD Athlon II X4 641 Quad-Core	2.8 GHz	4	FM1	1978	 
1576	Intel Core M-5Y31	0.9 GHz	2	BGA1234	1972	 
1577	AMD A10-7400P	2.5 GHz	4	FP3	1969	 
1578	Intel Celeron G3900TE	2.3 GHz	2	LGA1151	1967	 
1579	AMD A10-5757M APU	2.5 GHz	4	FP2	1963	 
1580	Intel Core i7-620M	3.3 GHz	2	BGA1288	1955	 
1581	Intel Atom E3900	1.6 GHz	4	1953	 
1582	Intel Celeron 4305UE	2.0 GHz	2	BGA1528	1950	 
1583	Intel Core i5-3317U	1.7 GHz	2	BGA1023	1950	 
1584	Intel Core i3-4120U	2.0 GHz	2	BGA1168	1948	 
1585	Intel Core i3-2120	3.3 GHz	2	LGA1155	1947	 
1586	AMD Phenom 9850B Quad-Core	2.5 GHz	4	1946	 
1587	Intel Celeron J4025	2.0 GHz	2	BGA1090	1946	 
1588	AMD Phenom II X3 B77	3.2 GHz	3	AM2+/AM3	1945	 
1589	Intel Atom E3940	1.6 GHz	4  1940	 
1590	AMD PRO A6-9500	3.5 GHz	2	AM4	1938	 
1591	Intel Xeon X6550	2.0 GHz	4	LGA1567	1936	 
1592	Intel Xeon E5603	1.6 GHz	4	LGA1366	1935	 
1593	Intel Xeon L5410	2.3 GHz	4	LGA771	1932	 
1594	Intel Pentium G3250	3.2 GHz	2	LGA1150	1931	 
1595	Intel Core i7-2655LE	2.2 GHz	2	BGA1023	1928	 
1596	Intel Xeon E5507	2.3 GHz	4	LGA1366	1928	 
1597	Intel Celeron N3450	1.1 GHz	4	BGA1296	1925	 
1598	Intel Xeon E5420	2.5 GHz	4	LGA771	1923	 
1599	Intel Core2 Quad Q9100	2.3 GHz	4	PGA478	1923	 
1600	Intel Core i5-580M	3.3 GHz	2	BGA1288	1922	 
1601	Intel Pentium G2120	3.1 GHz	2	LGA1155	1922	 
1602	Intel Core i7-820QM	1.7 GHz	4	PGA988A	1921	 
1603	Intel Core i3-4025U	1.9 GHz	2	BGA1168	1918	 
1604	AMD Opteron 3320 EE	1.9 GHz	4	AM3+	1918	 
1605	AMD Opteron X2170 APU	2.4 GHz	4	FT3	1911	 
1606	AMD Athlon II X4 620	2.6 GHz	4	AM3	1910	 
1607	Intel Core i5-4422E	1.8 GHz	2	BGA1364	1907	 
1608	Intel Core i5-3439Y	1.5 GHz	2	BGA1023	1907	 
1609	Intel Core M-5Y10a	0.8 GHz	2	BGA1234	1905	 
1610	Intel Xeon E5410	2.3 GHz	4	LGA771	1905	 
1611	Intel Core i5-2410M	2.3 GHz	2	BGA1023, PPG	1905	 
1612	AMD Athlon II X4 615e	2.5 GHz	4	AM3	1904	 
1613	Intel Pentium G3240	3.1 GHz	2	LGA1150	1903	 
1614	AMD Opteron 2419 EE	1.8 GHz	6	F (1207)	1902	 
1615	AMD PRO A6-8570	3.5 GHz	2	AM4	1902	 
1616	AMD Opteron 1385	2.7 GHz	4	AM2+,AM3	1898	 
1617	AMD A10-5750M APU	2.5 GHz	4	FS1r2	1896	 
1618	Intel Core i5-2510E	2.5 GHz	2	PGA988B	1889	 
1619	Intel Core i7-2637M	1.7 GHz	2	BGA1023	1888	 
1620	AMD PRO A6-8550B	3.7 GHz	2	FM2+	1885	 
1621	AMD A6-9500	3.5 GHz	2	AM4	1885	 
1622	Intel Xeon E5506	2.1 GHz	4	LGA1366	1883	 
1623	Intel Core i5-2515E	2.5 GHz	2	BGA1023	1882	 
1624	Intel Core i7-840QM	1.9 GHz	4	PGA988A	1881	 
1625	Intel Core i7-3555LE	2.5 GHz	2	BGA1023	1880	 
1626	Intel Core2 Extreme Q9300	2.5 GHz	4	PGA478	1877	 
1627	Intel Core M-5Y10c	0.8 GHz	2	BGA1234	1876	 
1628	AMD Opteron 2378	2.4 GHz	4	F (1207)	1864	 
1629	AMD Phenom II X4 B05e	2.3 GHz	4	1862	 
1630	Intel Xeon X5355	2.7 GHz	4	LGA771	1861	 
1631	AMD A8-3800 APU	2.4 GHz	4	FM1	1858	 
1632	AMD Athlon 5370 APU	2.2 GHz	4	AM1,FS1B	1857	 
1633	AMD A10 PRO-7350B APU	2.1 GHz	4	FP3	1857	 
1634	Intel Core i3-4030U	1.9 GHz	2	BGA1168	1857	 
1635	AMD A10-4600M APU	2.3 GHz	4	FS1r2	1855	 
1636	AMD Athlon II X3 460	3.4 GHz	3	AM3	1854	 
1637	Intel Core i3-4110U	1.9 GHz	2	1853	 
1638	Intel Core i5-4230U	1.9 GHz	2	BGA1364	1853	 
1639	Intel Pentium G3220	3.0 GHz	2	LGA1150	1852	 
1640	Intel Core i5-560M	3.2 GHz	2	BGA1288	1851	 
1641	Intel Pentium 1403	2.6 GHz	2	LGA1356	1851	 
1642	Intel Pentium G3250T	2.8 GHz	2	LGA1150	1851	 
1643	Intel Core i3-2310E	2.1 GHz	2	BGA1023	1845	 
1644	AMD Phenom II X4 805	2.5 GHz	4	AM3	1844	 
1645	AMD A6-9500E	3.0 GHz	2	AM4	1841	 
1646	Intel Xeon X3323	2.5 GHz	4	LGA775	1837	 
1647	Intel Pentium G2130	3.2 GHz	2	LGA1155	1832	 
1648	AMD Phenom II X4 830	2.8 GHz	4	AM2+/AM3	1830	 
1649	AMD Phenom II X4 B15e	2.5 GHz	4	AM2+/AM3	1825	 
1650	Intel Core i3-2330E	2.2 GHz	2	rPGA988	1823	 
1651	Intel Core M-5Y51	1.1 GHz	2	BGA1234	1821	 
1652	Intel Xeon X3220	2.4 GHz	4	LGA775	1819	 
1653	AMD Athlon 5350 APU	2.1 GHz	4	AM1,FS1B	1819	 
1654	Intel Core i7-610E	2.5 GHz	2	BGA1288	1818	 
1655	Intel Core i5-4302Y	1.6 GHz	2	BGA1168	1817	 
1656	AMD A8-6500T APU	2.1 GHz	4	FM2	1816	 
1657	Intel Xeon E5345	2.3 GHz	4	LGA771	1814	 
1658	Intel Core i3-2105	3.1 GHz	2	LGA1155	1814	 
1659	AMD Athlon II X4 610e	2.4 GHz	4	AM3	1814	 
1660	AMD Phenom 9850 Quad-Core	2.5 GHz	4	AM2+	1812	 
1661	AMD A8-7410 APU	2.2 GHz	4	1809	 
1662	AMD GX-424CC SOC	2.4 GHz	4	FT3b	1807	 
1663	Intel Core2 Quad Q8300	2.5 GHz	4	LGA775	1806	 
1664	AMD Athlon II X3 455	3.3 GHz	3	AM3	1803	 
1665	Intel Core i7-2677M	1.8 GHz	2	BGA1023	1799	 
1666	Intel Pentium G3240T	2.7 GHz	2	LGA1150	1798	 
1667	AMD Opteron 1381	2.5 GHz	4	AM3	1797	 
1668	AMD Phenom II X940 Quad-Core	2.4 GHz	4	S1	1797	 
1669	AMD GX-420MC SOC	2.0 GHz	4	FTB3b	1796	 
1670	AMD Athlon II X4 605e	2.3 GHz	4	AM3	1790	 
1671	Intel Core2 Quad Q8200	2.3 GHz	4	LGA775	1786	 
1672	Intel Celeron 3965U	2.2 GHz	2	BGA1356	1786	 
1673	AMD Phenom X4 Quad-Core GP-9730	2.4 GHz	4	AM2+ (940-pin)	1784	 
1674	AMD Athlon X3 455	3.3 GHz	3	AM2+/AM3	1783	 
1675	AMD Athlon X3 435	2.9 GHz	3	1781	 
1676	AMD A8-7100 APU	1.8 GHz	4	FP3	1780	 
1677	Intel Core M-5Y10	0.8 GHz	2	1779	 
1678	AMD A8-6410 APU	2.0 GHz	4	BGA769 (FT3b)	1776	 
1679	Intel Core i3-2100	3.1 GHz	2	LGA1155	1776	 
1680	AMD R-464L APU	2.3 GHz	4	FS1r2	1773	 
1681	AMD Athlon X4 620	2.6 GHz	4	1770	 
1682	Intel Core2 Quad Q6600	2.4 GHz	4	LGA775	1769	 
1683	AMD Phenom II N830 3+1	2.1 GHz	4	S1	1768	 
1684	AMD A6-3620 APU	2.2 GHz	4	FM1	1764	 
1685	AMD Phenom 9750 Quad-Core	2.4 GHz	4	AM2+	1761	 
1686	Intel Core m3-6Y30	0.9 GHz	2	BGA1515	1759	 
1687	AMD A10-4657M APU	2.3 GHz	4	FP2	1759	 
1688	AMD Phenom 9950 Quad-Core	2.6 GHz	4	AM2+	1756	 
1689	AMD A6-7470K	3.7 GHz	2	FM2+	1744	 
1690	Intel Core i3-4000M	2.4 GHz	2	PGA946	1742	 
1691	AMD Opteron 2356	2.3 GHz	4	F (1207)	1733	 
1692	AMD PRO A4-8350B	3.5 GHz	2	FM2+	1733	 
1693	Intel Xeon L5408	2.1 GHz	4	LGA771	1723	 
1694	AMD Phenom X2 Dual-Core GE-6060	0 GHz	2	1722	 
1695	Intel Core i5-540M	3.1 GHz	2	BGA1288	1720	 
1696	Intel Celeron N4020	1.1 GHz	2	BGA1090	1719	 
1697	Intel Core i7-740QM	1.7 GHz	4	PGA988A	1718	 
1698	Intel Core i3-4158U	2.0 GHz	2	BGA1168	1718	 
1699	AMD Athlon II X3 450	3.2 GHz	3	AM3	1717	 
1700	Intel Pentium G2030	3.0 GHz	2	LGA1155	1717	 
1701	AMD A6-3600 APU	2.1 GHz	4	FM1	1715	 
1702	Intel Celeron G1840	2.8 GHz	2	LGA1150	1711	 
1703	AMD Athlon II X4 600e	2.2 GHz	4	AM3	1711	 
1704	AMD Athlon II X3 440	3.0 GHz	3	AM3	1708	 
1705	AMD A6-7310 APU	2.0 GHz	4  1707	 
1706	Intel Core M-5Y70	1.1 GHz	2	BGA1234	1705	 
1707	Intel Celeron G1820T	2.4 GHz	2	LGA1150	1704	 
1708	AMD PRO A6-8500B	1.6 GHz	2	FP4	1704	 
1709	AMD Opteron 1356	2.3 GHz	4	AM2	1703	 
1710	Intel Core i7-720QM	1.6 GHz	4	PGA988A	1701	 
1711	AMD Phenom FX-5200 Quad-Core	2.3 GHz	4	AM3	1699	 
1712	AMD Athlon II X3 445	3.1 GHz	3	AM3	1697	 
1713	AMD Phenom II X4 905e	2.5 GHz	4	AM3	1696	 
1714	Intel Core i3-2100T	2.5 GHz	2	LGA1155	1694	 
1715	AMD A8-4500M APU	1.9 GHz	4	FS1r2	1692	 
1716	Intel Pentium G2100T	2.6 GHz	2	LGA1155	1691	 
1717	Intel Core i7-2617M	1.5 GHz	2	BGA1023	1687	 
1718	Intel Celeron G1820	2.7 GHz	2	LGA1150	1686	 
1719	Intel Core i3-4010U	1.7 GHz	2	BGA1168	1683	 
1720	AMD A8-5557M APU	2.1 GHz	4	FP2	1682	 
1721	Intel Core i5-520M	2.9 GHz	2	BGA1288	1681	 
1722	AMD PRO A6-7350B	3.0 GHz	2	FMA4	1679	 
1723	Intel Xeon L5335	2.0 GHz	4	LGA771	1678	 
1724	AMD Phenom 9550 Quad-Core	2.2 GHz	4	AM2+	1675	 
1725	AMD PRO A4-3350B APU	2.0 GHz	4	FT3b	1672	 
1726	AMD A6-6310 APU	1.8 GHz	4	FT3	1672	 
1727	AMD Phenom II X920 Quad-Core	2.8 GHz	4	S1	1669	 
1728	AMD A9-9430	3.2 GHz	2	1668	 
1729	AMD A10-7300 APU	1.9 GHz	4	FP3	1664	 
1730	AMD Athlon II X3 435	2.9 GHz	3	AM3	1663	 
1731	AMD Phenom 9650 Quad-Core	2.3 GHz	4	AM2+	1660	 
1732	Intel Core i3-4005U	1.7 GHz	2	BGA1168	1660	 
1733	Intel Celeron J4005	2.0 GHz	2	BGA1090	1656	 
1734	Intel Atom C3558	2.2 GHz	4	BGA1310	1650	 
1735	AMD GX-420CA SOC	2.0 GHz	4	FT3 (769-BGA)	1649	 
1736	AMD Phenom X4 Quad-Core GP-9600	2.3 GHz	4	AM2+	1649	 
1737	Intel Pentium 4415Y	1.6 GHz	2	BGA1515	1647	 
1738	AMD Phenom II N970 Quad-Core	2.2 GHz	4	S1	1647	 
1739	Intel Celeron G1630	2.8 GHz	2	LGA1155	1646	 
1740	AMD PRO A6-9500E	3.0 GHz	2	AM4	1645	 
1741	Intel Core i7-3689Y	1.5 GHz	2	BGA1023	1642	 
1742	Intel Pentium G2020	2.9 GHz	2	LGA1155	1641	 
1743	AMD Phenom II N950 Quad-Core	2.1 GHz	4	S1	1637	 
1744	AMD Opteron 2373 EE	2.1 GHz	4	F (1207)	1635	 
1745	Intel Core i5-2557M	1.7 GHz	2	BGA1023	1628	 
1746	AMD Embedded R-Series RX-216GD	1.6 GHz	2	BGA (FP4)	1628	 
1747	Intel Core i3-560	3.3 GHz	2	LGA1156	1626	 
1748	AMD A6-5200 APU	2.0 GHz	4	FT3	1625	 
1749	Intel Pentium G3320TE	2.3 GHz	2	LGA1150	1623	 
1750	Intel Core i3-4030Y	1.6 GHz	2	BGA1168	1623	 
1751	Intel Core i7-640LM	2.1 GHz	2	BGA1288	1623	 
1752	AMD A10-4655M APU	2.0 GHz	4	FP2	1621	 
1753	AMD Opteron 1354	2.2 GHz	4	AM2	1620	 
1754	AMD Phenom 9600B Quad-Core	2.3 GHz	4	AM2+	1620	 
1755	Intel Core i5-4210Y	1.5 GHz	2	BGA1168	1619	 
1756	Intel Core i5 E 520	2.4 GHz	2	BGA1288	1619	 
1757	AMD A6-6400B APU	3.9 GHz	2	FM2	1616	 
1758	Intel Xeon E5405	2.0 GHz	4	LGA771	1615	 
1759	Intel Core i3-3120M	2.5 GHz	2	PGA988	1615	 
1760	Intel Pentium G2120T	2.7 GHz	2	LGA1155	1613	 
1761	Intel Core i5-2467M	1.6 GHz	2	BGA1023	1611	 
1762	AMD Phenom 9600 Quad-Core	2.3 GHz	4	AM2+	1610	 
1763	Intel Pentium 3560M	2.4 GHz	2	PGA946	1609	 
1764	Intel Celeron 2000E	2.2 GHz	2	BGA1364	1607	 
1765	Intel Core i5-4202Y	1.6 GHz	2	BGA1168	1606	 
1766	AMD A6-8550	3.7 GHz	2	FM2+	1604	 
1767	Intel Xeon X3210	2.1 GHz	4	LGA775	1599	 
1768	AMD Phenom FX-5000 Quad-Core	2.2 GHz	4	AM2+	1599	 
1769	AMD A6-7400K APU	3.5 GHz	2	FM2+	1598	 
1770	Intel Atom C3538	2.1 GHz	4	BGA1310	1596	 
1771	AMD A4-6250J APU	2.0 GHz	4	1596	 
1772	Intel Pentium G2030T	2.6 GHz	2	LGA1155	1595	 
1773	AMD A4-7210 APU	1.8 GHz	4	BGA	1592	 
1774	AMD A9-9425	3.1 GHz	2	BGA (FT4)	1583	 
1775	AMD A8-3550MX APU	2.0 GHz	4	FS1	1579	 
1776	AMD A9-9420	3.0 GHz	2	1578	 
1777	HP Hexa-Core 2.0GHz	2.0 GHz	4	1577	 
1778	Intel Celeron G1840T	2.5 GHz	2	LGA1150	1576	 
1779	AMD A8-3510MX APU	1.8 GHz	4	FS1	1576	 
1780	Intel Core i3-3110M	2.4 GHz	2	BGA1023	1570	 
1781	AMD Phenom X2 Dual-Core GE-5060	0 GHz	2	1566	 
1782	Intel Celeron N4000C	1.1 GHz	2	BGA1090	1559	 
1783	Intel Core i5-4200Y	1.4 GHz	2	BGA1168	1558	 
1784	Intel Celeron G1620	2.7 GHz	2	LGA1155	1557	 
1785	AMD Opteron X3216 APU	1.6 GHz	2	1556	 
1786	Intel Pentium G870	3.1 GHz	2	LGA1155	1555	 
1787	AMD Phenom 9500 Quad-Core	2.2 GHz	4	AM2+	1553	 
1788	AMD A6-6420B APU	4.0 GHz	2	FM2	1550	 
1789	Intel Xeon E5335	2.0 GHz	4	LGA771	1549	 
1790	ZHAOXIN KaiXian ZX-C+ C4700@2.0GHz	2.0 GHz	4	1547	 
1791	AMD Athlon II X3 425	2.7 GHz	3	AM3	1544	 
1792	Intel Pentium 2030M	2.5 GHz	2	PGA988	1542	 
1793	AMD Phenom II X3 B73	2.8 GHz	3	AM3	1538	 
1794	AMD E2-7110 APU	1.8 GHz	4	FP4 BGA	1538	 
1795	AMD A6-6420K APU	4.0 GHz	2	FM2	1538	 
1796	AMD Phenom II N930 Quad-Core	2.0 GHz	4	S1	1533	 
1797	Intel Core i3-550	3.2 GHz	2	LGA1156	1533	 
1798	Intel Xeon E5504	2.0 GHz	4	LGA1366	1529	 
1799	Intel Core i3-540	3.1 GHz	2	LGA1156	1529	 
1800	Intel Celeron 3955U	2.0 GHz	2	BGA1356	1529	 
1801	AMD Embedded G-Series GX-420GI Radeon R7E	2.0 GHz	4	FP4	1527	 
1802	AMD Phenom II X3 720	2.8 GHz	3	AM3	1526	 
1803	AMD A10-5745M APU	2.1 GHz	4	FP2	1524	 
1804	Intel Xeon X5270	3.5 GHz	2	LGA771	1524	 
1805	Intel Core2 Quad Q9000	2.0 GHz	4	PGA478	1522	 
1806	AMD A4-7300 APU	3.8 GHz	2	FM2	1522	 
1807	Intel Pentium G860	3.0 GHz	2	LGA1155	1520	 
1808	AMD Phenom 9750B Quad-Core	2.4 GHz	4	AM2+	1520	 
1809	AMD A4 PRO-3340B	2.2 GHz	4	BGA769 (FT3)	1519	 
1810	AMD Phenom 9450e Quad-Core	2.1 GHz	4	AM2+	1519	 
1811	Intel Celeron G1830	2.8 GHz	2	LGA1150	1518	 
1812	Intel Pentium 4405Y	1.5 GHz	2	BGA1515	1518	 
1813	AMD PRO A6-8570E	3.0 GHz	2	1517	 
1814	AMD Athlon X3 425	2.7 GHz	3	1516	 
1815	AMD A8-5545M APU	1.7 GHz	4	FP2	1514	 
1816	AMD A6 PRO-7400B	3.5 GHz	2	FM2+	1512	 
1817	AMD Opteron 2354	2.2 GHz	4	F (1207)	1509	 
1818	Intel Celeron G1620T	2.4 GHz	2	LGA1155	1507	 
1819	AMD Phenom II X4 900e	2.4 GHz	4	AM3	1505	 
1820	Intel Pentium 3550M	2.3 GHz	2	PGA946	1504	 
1821	AMD Athlon X2 370K Dual Core	4.0 GHz	2	1504	 
1822	AMD A9-9410	2.9 GHz	2	FP4	1503	 
1823	Intel Celeron 2970M	2.2 GHz	2	PGA946	1501	 
1824	AMD Phenom 9350e Quad-Core	2.0 GHz	4	AM2+	1501	 
1825	Intel Core i5-3339Y	1.5 GHz	2	BGA1023	1499	 
1826	AMD PRO A6-8530B	2.3 GHz	2	FP4	1498	 
1827	AMD Athlon II X3 420e	2.6 GHz	3	AM3	1495	 
1828	Intel Core i3-2120T	2.6 GHz	2	LGA1155	1488	 
1829	AMD A4-6300B APU	3.7 GHz	2	1484	 
1830	AMD A4-6320 APU	3.8 GHz	2	FM2	1483	 
1831	Intel Core i3-4020Y	1.5 GHz	2	BGA1168	1481	 
1832	Intel Celeron N4000	1.1 GHz	2	BGA1090	1481	 
1833	AMD A8-3530MX APU	1.9 GHz	4	FS1	1480	 
1834	AMD A8 PRO-7150B APU	1.9 GHz	4	FP3	1480	 
1835	Pentium Dual-Core E6000	3.5 GHz	2	1472	 
1836	Intel Xeon E7320	2.1 GHz	4	604	1469	 
1837	Intel Pentium G2020T	2.5 GHz	2	LGA1155	1468	 
1838	AMD Phenom II X3 710	2.6 GHz	3	AM3	1467	 
1839	AMD Phenom II X3 B75	3.0 GHz	3	AM3	1465	 
1840	AMD A4-6210 APU	1.8 GHz	4	FT3b	1464	 
1841	Intel Core i5-4300Y	1.6 GHz	2	BGA1168	1463	 
1842	AMD Opteron 1352	2.1 GHz	4	AM2	1462	 
1843	Intel Pentium 4425Y	1.7 GHz	2	BGA1515	1458	 
1844	Intel Pentium 3825U	1.9 GHz	2	BGA1168	1455	 
1845	Intel Celeron 3867U	1.8 GHz	2	BGA1356	1455	 
1846	Intel Xeon X5272	3.4 GHz	2	LGA771	1451	 
1847	Intel Celeron 5205U	1.9 GHz	2	BGA1528	1451	 
1848	Intel Xeon E5240	3.0 GHz	2	LGA771	1448	 
1849	AMD Athlon 5150 APU	1.6 GHz	4	AM1,FS1b	1444	 
1850	AMD Athlon II X3 415e	2.5 GHz	3	AM3	1441	 
1851	AMD Athlon X3 440	3.0 GHz	3	1438	 
1852	Intel Celeron G1610	2.6 GHz	2	LGA1155	1436	 
1853	Intel Core i3-530	2.9 GHz	2	LGA1156	1430	 
1854	Intel Xeon E3113	3.0 GHz	2	LGA775	1429	 
1855	AMD Phenom II X3 740	3.0 GHz	3	1424	 
1856	AMD A6-5400B APU	3.6 GHz	2	FM2	1422	 
1857	AMD A4 PRO-7300B APU	3.8 GHz	2	1421	 
1858	Intel Pentium G3220T	2.6 GHz	2	LGA1150	1421	 
1859	Intel Atom C2558	2.4 GHz	4	BGA 1283	1410	 
1860	Intel Pentium J3710	1.6 GHz	4	1409	 
1861	Intel Core i7-2610UE	1.5 GHz	2	BGA1023	1409	 
1862	Intel Core2 Duo E8290	2.8 GHz	2	LGA775	1408	 
1863	Intel Xeon E3-1220L v3	1.1 GHz	2	LGA1150	1407	 
1864	AMD Phenom II X4 910	2.6 GHz	4	AM3	1407	 
1865	Intel Celeron 1020E	2.2 GHz	2	BGA1023, P	1406	 
1866	Intel Atom x7-Z8750	1.6 GHz	4	UTBGA1380	1406	 
1867	AMD Phenom II X2 565	3.4 GHz	2	AM2+/AM3	1404	 
1868	Intel Xeon E5320	1.9 GHz	4	LGA771	1402	 
1869	Intel Pentium G6951	2.8 GHz	2	LGA1156	1401	 
1870	Intel Core i5-4220Y	1.6 GHz	2	BGA1364	1400	 
1871	AMD Phenom 8600B Triple-Core	2.3 GHz	3	AM2+	1398	 
1872	AMD A6-9220	2.5 GHz	2	1397	 
1873	AMD Phenom II P960 Quad-Core	1.8 GHz	4	S1	1397	 
1874	AMD A6-8500P	1.6 GHz	2	BGA (FP4)	1396	 
1875	AMD Phenom II X3 700e	2.4 GHz	3	AM3	1391	 
1876	AMD Phenom II X2 570	3.5 GHz	2	AM3	1387	 
1877	Intel Pentium 4410Y	1.5 GHz	2	BGA1515	1387	 
1878	Intel Xeon L5310	1.6 GHz	4	LGA771	1385	 
1879	AMD E1-6050J APU	1.4 GHz	2	1385	 
1880	AMD A6-6400K APU	3.9 GHz	2	FM2	1375	 
1881	Intel Core i3-2312M	2.1 GHz	2	PGA988B	1369	 
1882	Intel Core i7-620LM	2.0 GHz	2	rPGA988A	1367	 
1883	Intel Xeon X5260	3.3 GHz	2	LGA771	1364	 
1884	Intel Pentium G2010	2.8 GHz	2	LGA1155	1363	 
1885	Intel Pentium N3710	1.6 GHz	4	BGA1170	1362	 
1886	Intel Core i3-3217UE	1.6 GHz	2	BGA1023	1362	 
1887	Intel Atom C2538	2.4 GHz	4	BGA1283	1356	 
1888	Intel Core2 Duo E8600	3.3 GHz	2	LGA775	1354	 
